date,diesel price per liter in RON
23-09-2020,4.333
24-09-2020,4.333
25-09-2020,4.333
26-09-2020,4.328
27-09-2020,4.328
28-09-2020,4.353
29-09-2020,4.379
30-09-2020,4.379
01-10-2020,4.392
02-10-2020,4.392
03-10-2020,4.392
04-10-2020,4.392
05-10-2020,4.392
06-10-2020,4.394
07-10-2020,4.394
08-10-2020,4.412
09-10-2020,4.417
10-10-2020,4.417
11-10-2020,4.427
12-10-2020,4.427
13-10-2020,4.435
14-10-2020,4.443
15-10-2020,4.443
16-10-2020,4.422
17-10-2020,4.422
18-10-2020,4.438
19-10-2020,4.443
20-10-2020,4.451
21-10-2020,4.502
22-10-2020,4.502
23-10-2020,4.502
24-10-2020,4.466
25-10-2020,4.461
26-10-2020,4.458
27-10-2020,4.420
28-10-2020,4.415
29-10-2020,4.415
30-10-2020,4.415
31-10-2020,4.389
01-11-2020,4.389
02-11-2020,4.371
03-11-2020,4.371
04-11-2020,4.371
05-11-2020,4.410
06-11-2020,4.410
07-11-2020,4.381
08-11-2020,4.410
09-11-2020,4.410
10-11-2020,4.410
11-11-2020,4.412
12-11-2020,4.435
13-11-2020,4.440
14-11-2020,4.440
15-11-2020,4.456
16-11-2020,4.456
17-11-2020,4.456
18-11-2020,4.471
19-11-2020,4.471
20-11-2020,4.476
21-11-2020,4.476
22-11-2020,4.476
23-11-2020,4.535
24-11-2020,4.535
25-11-2020,4.579
26-11-2020,4.622
27-11-2020,4.622
28-11-2020,4.594
29-11-2020,4.622
30-11-2020,4.622
01-12-2020,4.622
02-12-2020,4.622
03-12-2020,4.640
04-12-2020,4.622
05-12-2020,4.622
06-12-2020,4.645
07-12-2020,4.645
08-12-2020,4.681
09-12-2020,4.681
10-12-2020,4.681
11-12-2020,4.681
12-12-2020,4.681
13-12-2020,4.681
14-12-2020,4.727
15-12-2020,4.776
16-12-2020,4.776
18-12-2020,4.799
19-12-2020,4.776
20-12-2020,4.799
21-12-2020,4.799
22-12-2020,4.822
23-12-2020,4.822
24-12-2020,4.822
25-12-2020,4.799
26-12-2020,4.799
27-12-2020,4.822
28-12-2020,4.822
29-12-2020,4.822
30-12-2020,4.822
31-12-2020,4.822
01-01-2021,4.822
02-01-2021,4.822
03-01-2021,4.822
04-01-2021,4.861
05-01-2021,4.861
06-01-2021,4.866
07-01-2021,4.871
08-01-2021,4.886
09-01-2021,4.886
10-01-2021,4.896
11-01-2021,4.896
12-01-2021,4.940
13-01-2021,4.958
14-01-2021,4.971
15-01-2021,4.963
16-01-2021,4.963
17-01-2021,4.971
18-01-2021,4.971
19-01-2021,4.989
20-01-2021,5.012
21-01-2021,5.012
22-01-2021,5.012
23-01-2021,5.012
24-01-2021,5.012
25-01-2021,5.004
26-01-2021,5.004
27-01-2021,4.996
28-01-2021,4.996
29-01-2021,4.996
30-01-2021,4.996
31-01-2021,4.996
01-02-2021,4.996
02-02-2021,4.996
03-02-2021,5.032
04-02-2021,5.032
05-02-2021,5.055
06-02-2021,5.055
07-02-2021,5.058
08-02-2021,5.058
09-02-2021,5.058
10-02-2021,5.078
11-02-2021,5.078
12-02-2021,5.107
13-02-2021,5.107
14-02-2021,5.107
15-02-2021,5.107
16-02-2021,5.148
17-02-2021,5.148
18-02-2021,5.178
19-02-2021,5.209
20-02-2021,5.209
21-02-2021,5.209
22-02-2021,5.209
23-02-2021,5.281
24-02-2021,5.281
25-02-2021,5.281
26-02-2021,5.281
27-02-2021,5.304
28-02-2021,5.312
01-03-2021,5.312
02-03-2021,5.312
03-03-2021,5.312
04-03-2021,5.312
05-03-2021,5.312
07-03-2021,5.312
08-03-2021,5.335
09-03-2021,5.376
10-03-2021,5.376
11-03-2021,5.399
12-03-2021,5.399
13-03-2021,5.401
14-03-2021,5.401
15-03-2021,5.401
16-03-2021,5.445
17-03-2021,5.445
18-03-2021,5.442
19-03-2021,5.442
20-03-2021,5.435
21-03-2021,5.435
22-03-2021,5.435
23-03-2021,5.424
24-03-2021,5.394
25-03-2021,5.381
26-03-2021,5.347
27-03-2021,5.353
28-03-2021,5.353
29-03-2021,5.319
30-03-2021,5.319
31-03-2021,5.319
01-04-2021,5.319
02-04-2021,5.319
03-04-2021,5.319
04-04-2021,5.319
05-04-2021,5.319
06-04-2021,5.319
10-04-2021,5.353
11-04-2021,5.330
12-04-2021,5.353
13-04-2021,5.353
14-04-2021,5.391
15-04-2021,5.391
16-04-2021,5.391
17-04-2021,5.370
18-04-2021,5.370
19-04-2021,5.399
20-04-2021,5.435
21-04-2021,5.435
22-04-2021,5.404
23-04-2021,5.394
24-04-2021,5.370
25-04-2021,5.370
26-04-2021,5.394
27-04-2021,5.394
28-04-2021,5.394
29-04-2021,5.394
30-04-2021,5.394
01-05-2021,5.373
02-05-2021,5.373
03-05-2021,5.394
04-05-2021,5.394
05-05-2021,5.399
06-05-2021,5.399
07-05-2021,5.414
08-05-2021,5.458
09-05-2021,5.458
10-05-2021,5.488
11-05-2021,5.488
12-05-2021,5.488
13-05-2021,5.488
14-05-2021,5.509
15-05-2021,5.468
16-05-2021,5.455
17-05-2021,5.455
18-05-2021,5.486
19-05-2021,5.486
20-05-2021,5.509
21-05-2021,5.486
22-05-2021,5.450
23-05-2021,5.450
24-05-2021,5.455
25-05-2021,5.463
26-05-2021,5.463
27-05-2021,5.463
28-05-2021,5.463
29-05-2021,5.442
30-05-2021,5.442
31-05-2021,5.463
01-06-2021,5.463
02-06-2021,5.463
03-06-2021,5.463
04-06-2021,5.493
05-06-2021,5.481
06-06-2021,5.481
07-06-2021,5.493
08-06-2021,5.493
09-06-2021,5.493
10-06-2021,5.524
11-06-2021,5.537
12-06-2021,5.560
13-06-2021,5.560
14-06-2021,5.588
15-06-2021,5.624
16-06-2021,5.624
17-06-2021,5.660
18-06-2021,5.660
19-06-2021,5.629
20-06-2021,5.629
21-06-2021,5.647
22-06-2021,5.663
23-06-2021,5.670
24-06-2021,5.701
25-06-2021,5.714
26-06-2021,5.686
27-06-2021,5.686
28-06-2021,5.714
29-06-2021,5.722
30-06-2021,5.752
01-07-2021,5.752
02-07-2021,5.752
03-07-2021,5.729
04-07-2021,5.729
05-07-2021,5.752
06-07-2021,5.783
07-07-2021,5.804
08-07-2021,5.834
09-07-2021,5.804
10-07-2021,5.796
11-07-2021,5.796
12-07-2021,5.796
13-07-2021,5.796
14-07-2021,5.796
15-07-2021,5.801
16-07-2021,5.832
17-07-2021,5.827
18-07-2021,5.827
19-07-2021,5.827
20-07-2021,5.814
21-07-2021,5.783
22-07-2021,5.783
23-07-2021,5.814
24-07-2021,5.814
25-07-2021,5.814
26-07-2021,5.819
27-07-2021,5.839
28-07-2021,5.839
29-07-2021,5.824
30-07-2021,5.824
31-07-2021,5.824
01-08-2021,5.824
02-08-2021,5.824
03-08-2021,5.824
04-08-2021,5.824
05-08-2021,5.804
06-08-2021,5.798
07-08-2021,5.791
08-08-2021,5.791
09-08-2021,5.791
10-08-2021,5.793
11-08-2021,5.752
12-08-2021,5.747
13-08-2021,5.747
14-08-2021,5.747
15-08-2021,5.747
16-08-2021,5.747
17-08-2021,5.747
18-08-2021,5.732
19-08-2021,5.732
20-08-2021,5.724
21-08-2021,5.691
22-08-2021,5.691
23-08-2021,5.691
24-08-2021,5.686
25-08-2021,5.686
26-08-2021,5.701
27-08-2021,5.716
28-08-2021,5.716
29-08-2021,5.716
30-08-2021,5.716
31-08-2021,5.716
01-09-2021,5.752
02-09-2021,5.752
03-09-2021,5.804
04-09-2021,5.804
05-09-2021,5.804
06-09-2021,5.804
07-09-2021,5.827
08-09-2021,5.827
09-09-2021,5.827
10-09-2021,5.827
11-09-2021,5.827
12-09-2021,5.827
13-09-2021,5.827
14-09-2021,5.827
15-09-2021,5.875
16-09-2021,5.883
17-09-2021,5.883
18-09-2021,5.883
19-09-2021,5.883
20-09-2021,5.883
21-09-2021,5.883
22-09-2021,5.883
23-09-2021,5.883
24-09-2021,5.883
25-09-2021,5.914
26-09-2021,5.914
27-09-2021,5.914
28-09-2021,5.914
29-09-2021,5.957
30-09-2021,5.957
01-10-2021,5.988
02-10-2021,6.029
03-10-2021,6.029
04-10-2021,6.029
05-10-2021,6.080
06-10-2021,6.080
07-10-2021,6.111
08-10-2021,6.152
09-10-2021,6.132
10-10-2021,6.132
11-10-2021,6.170
12-10-2021,6.203
13-10-2021,6.234
14-10-2021,6.265
15-10-2021,6.275
16-10-2021,6.255
17-10-2021,6.255
18-10-2021,6.306
19-10-2021,6.337
20-10-2021,6.367
21-10-2021,6.395
22-10-2021,6.398
23-10-2021,6.419
24-10-2021,6.419
25-10-2021,6.449
26-10-2021,6.449
27-10-2021,6.449
28-10-2021,6.480
29-10-2021,6.480
30-10-2021,6.460
31-10-2021,6.460
01-11-2021,6.449
02-11-2021,6.449
03-11-2021,6.449
04-11-2021,6.419
05-11-2021,6.378
06-11-2021,6.347
07-11-2021,6.347
08-11-2021,6.378
09-11-2021,6.378
10-11-2021,6.378
11-11-2021,6.378
12-11-2021,6.378
13-11-2021,6.326
14-11-2021,6.326
15-11-2021,6.357
16-11-2021,6.337
17-11-2021,6.337
18-11-2021,6.337
19-11-2021,6.296
20-11-2021,6.265
21-11-2021,6.265
22-11-2021,6.296
23-11-2021,6.255
24-11-2021,6.255
25-11-2021,6.255
26-11-2021,6.255
27-11-2021,6.224
28-11-2021,6.224
29-11-2021,6.224
30-11-2021,6.132
01-12-2021,6.132
02-12-2021,6.162
03-12-2021,6.162
04-12-2021,6.080
05-12-2021,6.080
06-12-2021,6.111
07-12-2021,6.091
08-12-2021,6.091
09-12-2021,6.091
10-12-2021,6.091
11-12-2021,6.060
12-12-2021,6.060
13-12-2021,6.091
14-12-2021,6.091
15-12-2021,6.091
16-12-2021,6.091
17-12-2021,6.060
18-12-2021,6.029
19-12-2021,6.029
20-12-2021,6.060
21-12-2021,6.060
22-12-2021,6.019
23-12-2021,6.039
24-12-2021,6.039
25-12-2021,6.009
26-12-2021,6.009
27-12-2021,6.039
28-12-2021,6.080
29-12-2021,6.101
30-12-2021,6.111
31-12-2021,6.111
01-01-2022,6.142
02-01-2022,6.152
03-01-2022,6.152
04-01-2022,6.183
05-01-2022,6.193
06-01-2022,6.221
07-01-2022,6.270
08-01-2022,6.255
09-01-2022,6.255
10-01-2022,6.306
11-01-2022,6.326
12-01-2022,6.337
13-01-2022,6.367
14-01-2022,6.367
15-01-2022,6.367
16-01-2022,6.398
17-01-2022,6.419
18-01-2022,6.449
19-01-2022,6.480
20-01-2022,6.501
21-01-2022,6.531
22-01-2022,6.531
23-01-2022,6.552
24-01-2022,6.552
25-01-2022,6.562
26-01-2022,6.562
27-01-2022,6.603
28-01-2022,6.652
29-01-2022,6.654
30-01-2022,6.685
31-01-2022,6.685
01-02-2022,6.685
02-02-2022,6.693
03-02-2022,6.711
04-02-2022,6.731
05-02-2022,6.767
06-02-2022,6.767
07-02-2022,6.788
08-02-2022,6.829
09-02-2022,6.829
10-02-2022,6.859
11-02-2022,6.880
12-02-2022,6.900
13-02-2022,6.900
14-02-2022,6.900
15-02-2022,6.957
16-02-2022,6.993
17-02-2022,7.013
18-02-2022,7.013
19-02-2022,7.013
20-02-2022,7.013
21-02-2022,7.034
22-02-2022,7.034
23-02-2022,7.085
24-02-2022,7.126
25-02-2022,7.151
26-02-2022,7.157
27-02-2022,7.169
28-02-2022,7.198
01-03-2022,7.208
02-03-2022,7.208
03-03-2022,7.239
04-03-2022,7.310
05-03-2022,7.341
06-03-2022,7.341
07-03-2022,7.420
08-03-2022,7.423
09-03-2022,7.608
10-03-2022,7.608
11-03-2022,8.146
12-03-2022,8.176
13-03-2022,8.176
14-03-2022,8.176
15-03-2022,8.176
16-03-2022,8.174
17-03-2022,8.082
18-03-2022,8.082
19-03-2022,8.120
20-03-2022,8.133
21-03-2022,8.133
22-03-2022,8.138
23-03-2022,8.179
24-03-2022,8.271
25-03-2022,8.312
26-03-2022,8.358
27-03-2022,8.417
28-03-2022,8.463
29-03-2022,8.502
30-03-2022,8.502
31-03-2022,8.502
01-04-2022,8.512
02-04-2022,8.515
03-04-2022,8.543
04-04-2022,8.543
05-04-2022,8.538
06-04-2022,8.556
07-04-2022,8.592
08-04-2022,8.571
09-04-2022,8.568
10-04-2022,8.568
11-04-2022,8.568
02-05-2022,8.789
03-05-2022,8.791
04-05-2022,8.825
05-05-2022,8.876
06-05-2022,8.896
07-05-2022,8.902
08-05-2022,8.914
09-05-2022,8.920
10-05-2022,8.979
11-05-2022,8.989
12-05-2022,8.989
13-05-2022,8.989
14-05-2022,9.009
15-05-2022,9.009
16-05-2022,9.009
17-05-2022,9.009
18-05-2022,9.009
19-05-2022,9.009
20-05-2022,9.009
21-05-2022,8.891
22-05-2022,8.891
23-05-2022,9.004
24-05-2022,9.004
25-05-2022,9.004
26-05-2022,9.004
27-05-2022,9.004
28-05-2022,8.894
29-05-2022,8.907
30-05-2022,9.007
31-05-2022,9.045
01-06-2022,9.048
02-06-2022,9.078
03-06-2022,9.078
04-06-2022,9.004
05-06-2022,9.004
06-06-2022,9.150
07-06-2022,9.168
08-06-2022,9.201
09-06-2022,9.232
10-06-2022,9.273
11-06-2022,9.176
12-06-2022,9.176
13-06-2022,9.345
14-06-2022,9.345
15-06-2022,9.376
16-06-2022,9.376
17-06-2022,9.391
18-06-2022,9.299
19-06-2022,9.299
20-06-2022,9.417
21-06-2022,9.417
22-06-2022,9.417
23-06-2022,9.412
24-06-2022,9.412
25-06-2022,9.294
26-06-2022,9.294
27-06-2022,9.412
28-06-2022,9.412
29-06-2022,9.412
30-06-2022,9.412
01-07-2022,8.904
02-07-2022,8.904
03-07-2022,8.904
04-07-2022,8.899
05-07-2022,8.899
06-07-2022,8.899
07-07-2022,8.899
08-07-2022,8.899
09-07-2022,8.899
10-07-2022,8.899
11-07-2022,8.899
12-07-2022,8.899
13-07-2022,8.899
14-07-2022,8.899
15-07-2022,8.899
16-07-2022,8.899
17-07-2022,8.899
18-07-2022,8.899
19-07-2022,8.899
20-07-2022,8.899
21-07-2022,8.745
22-07-2022,8.745
23-07-2022,8.745
24-07-2022,8.745
25-07-2022,8.745
26-07-2022,8.745
27-07-2022,8.694
28-07-2022,8.694
29-07-2022,8.694
30-07-2022,8.694
31-07-2022,8.694
01-08-2022,8.694
02-08-2022,8.643
03-08-2022,8.540
04-08-2022,8.540
05-08-2022,8.540
06-08-2022,8.540
07-08-2022,8.540
08-08-2022,8.438
09-08-2022,8.438
10-08-2022,8.335
11-08-2022,8.335
12-08-2022,8.335
13-08-2022,8.335
14-08-2022,8.335
15-08-2022,8.335
16-08-2022,8.335
17-08-2022,8.335
18-08-2022,8.335
19-08-2022,8.335
20-08-2022,8.335
21-08-2022,8.335
22-08-2022,8.348
23-08-2022,8.369
24-08-2022,8.392
25-08-2022,8.417
26-08-2022,8.438
27-08-2022,8.499
28-08-2022,8.499
29-08-2022,8.499
30-08-2022,8.507
31-08-2022,8.510
01-09-2022,8.540
02-09-2022,8.540
03-09-2022,8.540
04-09-2022,8.540
05-09-2022,8.540
06-09-2022,8.548
07-09-2022,8.581
08-09-2022,8.581
09-09-2022,8.581
10-09-2022,8.581
11-09-2022,8.581
12-09-2022,8.581
13-09-2022,8.592
14-09-2022,8.622
15-09-2022,8.469
16-09-2022,8.469
17-09-2022,8.315
18-09-2022,8.315
19-09-2022,8.315
20-09-2022,8.315
21-09-2022,8.315
22-09-2022,8.212
23-09-2022,8.212
24-09-2022,8.212
25-09-2022,8.212
26-09-2022,8.212
27-09-2022,8.110
28-09-2022,8.110
29-09-2022,8.110
30-09-2022,8.110
01-10-2022,8.110
02-10-2022,8.110
03-10-2022,8.110
04-10-2022,8.110
05-10-2022,8.110
06-10-2022,8.110
07-10-2022,8.130
08-10-2022,8.202
09-10-2022,8.212
10-10-2022,8.223
11-10-2022,8.248
12-10-2022,8.335
13-10-2022,8.335
14-10-2022,8.351
15-10-2022,8.417
16-10-2022,8.417
17-10-2022,8.428
18-10-2022,8.499
19-10-2022,8.520
20-10-2022,8.520
21-10-2022,8.581
22-10-2022,8.602
23-10-2022,8.612
24-10-2022,8.633
25-10-2022,8.633
26-10-2022,8.633
27-10-2022,8.633
28-10-2022,8.633
29-10-2022,8.633
30-10-2022,8.633
31-10-2022,8.633
01-11-2022,8.633
02-11-2022,8.633
03-11-2022,8.633
04-11-2022,8.643
05-11-2022,8.674
06-11-2022,8.674
07-11-2022,8.684
08-11-2022,8.725
09-11-2022,8.756
10-11-2022,8.756
11-11-2022,8.756
12-11-2022,8.725
13-11-2022,8.725
14-11-2022,8.725
15-11-2022,8.725
16-11-2022,8.694
17-11-2022,8.643
18-11-2022,8.643
19-11-2022,8.592
20-11-2022,8.592
21-11-2022,8.551
22-11-2022,8.499
23-11-2022,8.417
24-11-2022,8.417
25-11-2022,8.366
26-11-2022,8.366
27-11-2022,8.366
28-11-2022,8.366
29-11-2022,8.284
30-11-2022,8.130
01-12-2022,8.130
02-12-2022,8.130
03-12-2022,8.130
04-12-2022,8.130
05-12-2022,8.130
06-12-2022,7.977
07-12-2022,7.823
08-12-2022,7.618
09-12-2022,7.618
10-12-2022,7.464
11-12-2022,7.464
12-12-2022,7.464
13-12-2022,7.464
14-12-2022,7.464
15-12-2022,7.464
16-12-2022,7.464
17-12-2022,7.464
18-12-2022,7.464
19-12-2022,7.464
20-12-2022,7.362
21-12-2022,7.362
22-12-2022,7.310
23-12-2022,7.310
24-12-2022,7.310
25-12-2022,7.310
26-12-2022,7.310
27-12-2022,7.310
28-12-2022,7.310
29-12-2022,7.310
30-12-2022,7.310
31-12-2022,7.310
01-01-2023,7.321
02-01-2023,7.700
03-01-2023,7.700
04-01-2023,7.700
05-01-2023,7.700
06-01-2023,7.659
07-01-2023,7.659